,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
2440,2016-07-06,Lights Only ,Venice ,FL ,USA ,27.0997775,-82.4542632,Sarasota Bradenton International Airport,"6000 Airport Circle, Sarasota",Military Recruiting Office - U.S. Army,"5581 Broadcast Ct #103, Sarasota"
2441,2016-07-06,Lights Only ,Redlands ,CA ,USA ,34.0555693,-117.1825381,,,March ARB,"March Air Reserve Base, Perris Blvd, March Air Reserve Base"
2442,2016-07-06,Lights Only ,Jasper ,MO ,USA ,37.3361642,-94.30133599999999,Joplin Regional Airport,"7331 State Highway 43, Joplin","Army Pittsburg Recruiting Office, KS","200 E Centennial Dr. #7a, Pittsburg"
2443,2016-07-06,Lights Only ,Tulsa ,OK ,USA ,36.1539816,-95.99277500000001,Oklahoma State University Medical Center Heliport,"744 West 9th Street, Tulsa",US Army Department,"11510 E 21st St, Tulsa"
2444,2016-07-07,Lights Only ,Traverse City ,MI ,USA ,44.7630567,-85.62063169999999,Cherry Capital Airport,"727 Fly Don't Drive, Traverse City",US Army Reserve Center,"901 Airport Access Rd, Traverse City"
2445,2016-07-07,Unknown ,Alameda ,CA ,USA ,37.7798721,-122.2821855,,,US Defense Department,"1265 Borregas Ave, Sunnyvale"
2446,2016-07-07,Lights Only ,Tulsa ,OK ,USA ,36.1539816,-95.99277500000001,Oklahoma State University Medical Center Heliport,"744 West 9th Street, Tulsa",US Army Department,"11510 E 21st St, Tulsa"
2447,2016-07-07,Lights Only ,Austin ,TX ,USA ,30.267153,-97.7430608,Capitol National Bank Building Heliport,"616 Lavaca Street, Austin",Soldier and Airman Support Center,"2200 W 35th St, Austin"
2448,2016-07-07,Lights Only ,Tucson ,AZ ,USA ,32.2226066,-110.9747108,Tucson International Airport,"7250 South Tucson Boulevard, Tucson",Arizona National Guard Silverbell Army Heliport,"24641 E Pinal Airpark Rd #4500, Marana"
2449,2016-07-07,Unknown ,Helena ,MT ,USA ,46.5891452,-112.0391057,Helena Regional Airport,"2850 Mercer Loop, Helena",US Army Department,"2150 Williams St, Helena"
2450,2016-07-07,Unknown ,Austin ,TX ,USA ,30.267153,-97.7430608,Capitol National Bank Building Heliport,"616 Lavaca Street, Austin",Soldier and Airman Support Center,"2200 W 35th St, Austin"
2451,2016-07-07,Circle ,Laguna Hills ,CA ,USA ,33.5916433,-117.6986604,John Wayne Airport,"18601 Airport Way, Santa Ana",US Army Department,Los Alamitos
2452,2016-07-07,Orb/Sphere ,Henderson ,CO ,USA ,39.9202178,-104.8660597,Denver International Airport,"8500 Peña Boulevard, Denver",US Army Department,"721 19th St #485, Denver"
2453,2016-07-07,Other ,Oxford ,AL ,USA ,33.6142714,-85.8349648,Northeast Alabama Regional Airport,"185 Ira Gray Drive, Gadsden",US Army Reserve Center,"61 Responder Dr, Anniston"
2454,2016-07-07,Fireball ,Newark ,NJ ,USA ,40.735657,-74.1723667,Saint Benedicts Heliport,Newark,United States Department of the Army,"Area Command, Brooklyn"
2455,2016-07-07,Circle ,Zachary ,LA ,USA ,30.64851909999999,-91.1564961,Baton Rouge Metropolitan Airport,"9430 Jackie Cochran Dr, Baton Rouge",US Army Department,"2101 Ernest Wilson Dr, Port Allen"
2456,2016-07-07,Other ,Tucson ,AZ ,USA ,32.2226066,-110.9747108,Tucson International Airport,"7250 South Tucson Boulevard, Tucson",Arizona National Guard Silverbell Army Heliport,"24641 E Pinal Airpark Rd #4500, Marana"
2457,2016-07-07,Other ,Centennial ,CO ,USA ,39.5807452,-104.8771726,Denver International Airport,"8500 Peña Boulevard, Denver",US Army Department,"721 19th St #485, Denver"
